Label,minutes,anomaly_freq,subject
Setting dinner,0.5091670000000015,28,292
Cleaning up,0.37978299999999976,11,292
walk,3.0004659999999976,71,292
drinking,0.19101699999999866,8,292
carrying the box,0.14058299999999946,5,292
carrying the box,0.13336599999999876,7,292
typing,1.8847500000000004,53,292
Setting dinner,0.4395329999999973,17,292
Cleaning up,0.2403000000000013,7,292
laying,2.000484,15,292
rowing,3.000567,127,292
carrying the box,0.13576600000000383,7,292
carrying the box,0.14994999999999692,6,292
bicycle,3.0002499999999976,94,292
drinking,0.10889999999999844,3,292
rest,3.0040499999999994,28,292
Setting dinner,0.41356700000000046,11,292
Cleaning up,0.19541699999999906,6,292
walk,3.000400000000006,81,292
drinking,0.10878300000000252,3,292
carrying the box,0.14543299999999704,5,292
carrying the box,0.12315000000000254,3,292
typing,1.8125999999999962,51,292
Setting dinner,0.41595000000000226,20,292
Cleaning up,0.18436699999999462,6,292
laying,2.0004830000000027,32,292
sync,0.20663300000000362,6,292
sync,0.16078299999999998,6,380
rowing,3.000433,30,380
carrying the box,0.1990660000000002,3,380
carrying the box,0.15808300000000042,3,380
bicycle,3.0084500000000007,24,380
drinking,0.2120829999999998,0,380
rest,3.000567,0,380
Setting dinner,0.8209330000000001,7,380
Cleaning up,0.4579340000000016,7,380
walk,3.0004829999999973,59,380
drinking,0.20813300000000012,3,380
carrying the box,0.18039999999999878,2,380
carrying the box,0.15763299999999703,8,380
typing,3.5614999999999988,25,380
Setting dinner,0.5232170000000025,18,380
Cleaning up,0.2784999999999975,5,380
laying,2.000499999999999,4,380
rowing,3.000516000000001,29,380
carrying the box,0.14638399999999763,4,380
carrying the box,0.14241600000000432,2,380
bicycle,3.0004500000000007,23,380
drinking,0.1808499999999995,0,380
rest,3.000616000000008,1,380
Setting dinner,0.5760000000000005,1,380
Cleaning up,0.27941700000000225,4,380
walk,3.0005000000000024,74,380
drinking,0.19558299999999917,0,380
carrying the box,0.16848300000000194,3,380
carrying the box,0.13834999999999553,4,380
typing,2.8923830000000024,9,380
Setting dinner,0.49526600000000087,11,380
Cleaning up,0.23338300000000345,5,380
laying,2.000516999999995,1,380
sync,0.18703399999999704,9,380
sync,0.246817,3,390
rowing,3.00305,13,390
carrying the box,0.2026829999999995,1,390
carrying the box,0.16666699999999945,1,390
bicycle,3.000400000000001,24,390
drinking,0.39429999999999943,3,390
rest,3.000482999999999,13,390
Setting dinner,0.6315170000000023,5,390
Cleaning up,0.3587170000000004,3,390
walk,3.0005000000000024,20,390
drinking,0.33068400000000153,1,390
carrying the box,0.16251700000000469,3,390
carrying the box,0.17109999999999914,1,390
typing,1.5828659999999992,10,390
Setting dinner,0.5456830000000004,6,390
Cleaning up,0.3024000000000022,1,390
laying,2.0005329999999972,11,390
rowing,3.0005000000000024,14,390
carrying the box,0.17014999999999958,1,390
carrying the box,0.16339999999999932,1,390
bicycle,3.0004830000000027,17,390
drinking,0.22596600000000677,0,390
rest,3.0004830000000027,19,390
Setting dinner,0.45666700000000304,3,390
Cleaning up,0.3240330000000071,2,390
walk,3.0004670000000004,18,390
drinking,0.2331000000000003,1,390
carrying the box,0.15765000000000384,3,390
carrying the box,0.15848299999999682,1,390
typing,1.643100000000004,12,390
Setting dinner,0.505632999999996,2,390
Cleaning up,0.3202500000000015,2,390
laying,2.0004500000000007,8,390
sync,0.24253300000000166,1,390
sync,0.2322,0,454
rowing,3.01415,10,454
carrying the box,0.19953300000000063,1,454
carrying the box,0.1670669999999994,0,454
bicycle,3.0006000000000004,1,454
drinking,0.26950000000000074,0,454
rest,3.0064329999999995,1,454
Setting dinner,0.6207670000000025,0,454
Cleaning up,0.31323400000000134,0,454
walk,3.0004670000000004,2,454
drinking,0.1543159999999979,1,454
carrying the box,0.13701599999999914,2,454
carrying the box,0.1360170000000025,1,454
typing,3.256999999999998,0,454
Setting dinner,0.4960340000000052,0,454
Cleaning up,0.21403300000000058,1,454
laying,2.0004670000000004,0,454
rowing,3.0002999999999993,1,454
carrying the box,0.1420330000000014,0,454
carrying the box,0.12713399999999453,0,454
bicycle,3.000433000000001,1,454
drinking,0.15311700000000172,0,454
rest,3.0004830000000027,1,454
Setting dinner,0.40246700000000146,0,454
Cleaning up,0.2944999999999993,0,454
walk,3.0088830000000044,28,454
drinking,0.16039999999999566,0,454
carrying the box,0.11673300000000353,0,454
carrying the box,0.11528299999999803,0,454
typing,2.968650000000004,3,454
Setting dinner,0.43591700000000344,1,454
Cleaning up,0.2491500000000002,2,454
laying,2.000516999999995,0,454
sync,0.2322500000000005,0,454
sync,0.14083299999999999,1,503
rowing,3.0004999999999997,3,503
carrying the box,0.17583399999999916,0,503
carrying the box,0.13431699999999935,0,503
bicycle,3.0004999999999997,3,503
drinking,0.5265170000000001,2,503
rest,3.0005830000000007,3,503
Setting dinner,0.5654000000000003,0,503
Cleaning up,0.32513400000000026,0,503
walk,3.0005000000000006,25,503
drinking,0.29521700000000095,3,503
carrying the box,0.14938300000000027,0,503
